strategy,num_mines,time_to_kill,surviving_mines,enemy_destroyed
Прямая,2,222,1,True
Прямая,2,222,1,True
Прямая,2,222,1,True
Прямая,2,222,1,True
Прямая,2,216,0,False
Прямая,2,222,1,True
Прямая,2,216,0,False
Прямая,2,222,1,True
Прямая,2,222,1,True
Прямая,2,222,1,True
Прямая,2,222,1,True
Прямая,2,222,1,True
Прямая,2,216,0,False
Прямая,2,222,1,True
Прямая,2,222,1,True
Прямая,2,216,0,False
Прямая,2,222,1,True
Прямая,2,222,1,True
Прямая,2,216,0,False
Прямая,2,222,1,True
Прямая,2,216,0,False
Прямая,2,216,0,False
Прямая,2,222,1,True
Прямая,2,222,1,True
Прямая,2,216,0,False
Прямая,2,216,0,False
Прямая,2,222,1,True
Прямая,2,222,1,True
Прямая,2,222,1,True
Прямая,2,216,0,False
Прямая,2,216,0,False
Прямая,2,222,1,True
Прямая,2,222,1,True
Прямая,2,222,1,True
Прямая,2,222,1,True
Прямая,2,222,1,True
Прямая,2,222,1,True
Прямая,2,216,0,False
Прямая,2,222,1,True
Прямая,2,222,1,True
Прямая,2,216,0,False
Прямая,2,222,1,True
Прямая,2,216,0,False
Прямая,2,222,1,True
Прямая,2,222,1,True
Прямая,2,222,1,True
Прямая,2,222,1,True
Прямая,2,216,0,False
Прямая,2,222,1,True
Прямая,2,216,0,False
Прямая,2,222,1,True
Прямая,2,222,1,True
Прямая,2,222,1,True
Прямая,2,222,1,True
Прямая,2,222,1,True
Прямая,2,216,0,False
Прямая,2,222,1,True
Прямая,2,222,1,True
Прямая,2,216,0,False
Прямая,2,222,1,True
Прямая,2,222,1,True
Прямая,2,222,1,True
Прямая,2,222,1,True
Прямая,2,216,0,False
Прямая,2,222,1,True
Прямая,2,222,1,True
Прямая,2,216,0,False
Прямая,2,222,1,True
Прямая,2,222,1,True
Прямая,2,216,0,False
Прямая,2,216,0,False
Прямая,2,216,0,False
Прямая,2,222,1,True
Прямая,2,222,1,True
Прямая,2,222,1,True
Прямая,2,222,1,True
Прямая,2,222,1,True
Прямая,2,216,0,False
Прямая,2,222,1,True
Прямая,2,222,1,True
Прямая,2,222,1,True
Прямая,2,222,1,True
