strategy,num_mines,time_to_kill,surviving_mines,enemy_destroyed
Жадный алгоритм (Greedy Attack),2,148,0,False
Жадный алгоритм (Greedy Attack),2,148,0,False
Жадный алгоритм (Greedy Attack),2,148,0,False
Жадный алгоритм (Greedy Attack),2,148,0,False
Жадный алгоритм (Greedy Attack),2,122,0,False
Жадный алгоритм (Greedy Attack),2,148,0,False
Жадный алгоритм (Greedy Attack),2,122,0,False
Жадный алгоритм (Greedy Attack),2,148,0,False
Жадный алгоритм (Greedy Attack),2,122,0,False
Жадный алгоритм (Greedy Attack),2,122,0,False
Жадный алгоритм (Greedy Attack),2,122,0,False
Жадный алгоритм (Greedy Attack),2,122,0,False
Жадный алгоритм (Greedy Attack),2,122,0,False
Жадный алгоритм (Greedy Attack),2,122,0,False
Жадный алгоритм (Greedy Attack),2,122,0,False
Жадный алгоритм (Greedy Attack),2,122,0,False
Жадный алгоритм (Greedy Attack),2,148,0,False
Жадный алгоритм (Greedy Attack),2,148,0,False
Жадный алгоритм (Greedy Attack),2,148,0,False
Жадный алгоритм (Greedy Attack),2,148,0,False
Жадный алгоритм (Greedy Attack),2,148,0,False
Жадный алгоритм (Greedy Attack),2,148,0,False
Жадный алгоритм (Greedy Attack),2,122,0,False
Жадный алгоритм (Greedy Attack),2,148,0,False
Жадный алгоритм (Greedy Attack),2,122,0,False
Жадный алгоритм (Greedy Attack),2,122,0,False
Жадный алгоритм (Greedy Attack),2,148,0,False
Жадный алгоритм (Greedy Attack),2,122,0,False
Жадный алгоритм (Greedy Attack),2,122,0,False
Жадный алгоритм (Greedy Attack),2,122,0,False
Жадный алгоритм (Greedy Attack),2,122,0,False
Жадный алгоритм (Greedy Attack),2,148,0,False
Жадный алгоритм (Greedy Attack),2,148,0,False
Жадный алгоритм (Greedy Attack),2,148,0,False
Жадный алгоритм (Greedy Attack),2,122,0,False
Жадный алгоритм (Greedy Attack),2,148,0,False
Жадный алгоритм (Greedy Attack),2,148,0,False
Жадный алгоритм (Greedy Attack),2,148,0,False
Жадный алгоритм (Greedy Attack),2,122,0,False
Жадный алгоритм (Greedy Attack),2,122,0,False
Жадный алгоритм (Greedy Attack),2,148,0,False
Жадный алгоритм (Greedy Attack),2,148,0,False
Жадный алгоритм (Greedy Attack),2,148,0,False
Жадный алгоритм (Greedy Attack),2,122,0,False
Жадный алгоритм (Greedy Attack),2,122,0,False
Жадный алгоритм (Greedy Attack),2,148,0,False
Жадный алгоритм (Greedy Attack),2,122,0,False
Жадный алгоритм (Greedy Attack),2,122,0,False
Жадный алгоритм (Greedy Attack),2,122,0,False
Жадный алгоритм (Greedy Attack),2,148,0,False
Жадный алгоритм (Greedy Attack),2,148,0,False
Жадный алгоритм (Greedy Attack),2,148,0,False
Жадный алгоритм (Greedy Attack),2,122,0,False
Жадный алгоритм (Greedy Attack),2,122,0,False
Жадный алгоритм (Greedy Attack),2,122,0,False
Жадный алгоритм (Greedy Attack),2,122,0,False
Жадный алгоритм (Greedy Attack),2,148,0,False
Жадный алгоритм (Greedy Attack),2,122,0,False
Жадный алгоритм (Greedy Attack),2,148,0,False
Жадный алгоритм (Greedy Attack),2,148,0,False
Жадный алгоритм (Greedy Attack),2,122,0,False
Жадный алгоритм (Greedy Attack),2,122,0,False
Жадный алгоритм (Greedy Attack),2,148,0,False
Жадный алгоритм (Greedy Attack),2,122,0,False
Жадный алгоритм (Greedy Attack),2,122,0,False
Жадный алгоритм (Greedy Attack),2,122,0,False
Жадный алгоритм (Greedy Attack),2,122,0,False
Жадный алгоритм (Greedy Attack),2,148,0,False
Жадный алгоритм (Greedy Attack),2,148,0,False
Жадный алгоритм (Greedy Attack),2,122,0,False
Жадный алгоритм (Greedy Attack),2,122,0,False
Жадный алгоритм (Greedy Attack),2,148,0,False
Жадный алгоритм (Greedy Attack),2,122,0,False
Жадный алгоритм (Greedy Attack),2,122,0,False
Жадный алгоритм (Greedy Attack),2,148,0,False
Жадный алгоритм (Greedy Attack),2,148,0,False
Жадный алгоритм (Greedy Attack),2,122,0,False
Жадный алгоритм (Greedy Attack),2,122,0,False
Жадный алгоритм (Greedy Attack),2,148,0,False
Жадный алгоритм (Greedy Attack),2,148,0,False
Жадный алгоритм (Greedy Attack),2,122,0,False
Жадный алгоритм (Greedy Attack),2,122,0,False
Жадный алгоритм (Greedy Attack),2,148,0,False
Жадный алгоритм (Greedy Attack),2,122,0,False
Жадный алгоритм (Greedy Attack),2,122,0,False
Жадный алгоритм (Greedy Attack),2,148,0,False
Жадный алгоритм (Greedy Attack),2,148,0,False
Жадный алгоритм (Greedy Attack),2,122,0,False
Жадный алгоритм (Greedy Attack),2,148,0,False
Жадный алгоритм (Greedy Attack),2,148,0,False
Жадный алгоритм (Greedy Attack),2,122,0,False
Жадный алгоритм (Greedy Attack),2,148,0,False
Жадный алгоритм (Greedy Attack),2,122,0,False
Жадный алгоритм (Greedy Attack),2,148,0,False
Жадный алгоритм (Greedy Attack),2,122,0,False
Жадный алгоритм (Greedy Attack),2,148,0,False
Жадный алгоритм (Greedy Attack),2,122,0,False
Жадный алгоритм (Greedy Attack),2,148,0,False
Жадный алгоритм (Greedy Attack),2,122,0,False
Жадный алгоритм (Greedy Attack),2,122,0,False
Жадный алгоритм (Greedy Attack),2,122,0,False
Жадный алгоритм (Greedy Attack),2,148,0,False
Жадный алгоритм (Greedy Attack),2,122,0,False
Жадный алгоритм (Greedy Attack),2,148,0,False
Жадный алгоритм (Greedy Attack),2,122,0,False
Жадный алгоритм (Greedy Attack),2,122,0,False
Жадный алгоритм (Greedy Attack),2,122,0,False
Жадный алгоритм (Greedy Attack),2,122,0,False
Жадный алгоритм (Greedy Attack),2,148,0,False
Жадный алгоритм (Greedy Attack),2,122,0,False
Жадный алгоритм (Greedy Attack),2,122,0,False
Жадный алгоритм (Greedy Attack),2,122,0,False
Жадный алгоритм (Greedy Attack),2,122,0,False
Жадный алгоритм (Greedy Attack),2,122,0,False
Жадный алгоритм (Greedy Attack),2,148,0,False
Жадный алгоритм (Greedy Attack),2,148,0,False
Жадный алгоритм (Greedy Attack),2,122,0,False
Жадный алгоритм (Greedy Attack),2,122,0,False
Жадный алгоритм (Greedy Attack),2,201,0,False
Жадный алгоритм (Greedy Attack),2,148,0,False
Жадный алгоритм (Greedy Attack),2,148,0,False
Жадный алгоритм (Greedy Attack),2,148,0,False
Жадный алгоритм (Greedy Attack),2,122,0,False
Жадный алгоритм (Greedy Attack),2,148,0,False
Жадный алгоритм (Greedy Attack),2,148,0,False
Жадный алгоритм (Greedy Attack),2,122,0,False
Жадный алгоритм (Greedy Attack),2,122,0,False
Жадный алгоритм (Greedy Attack),2,122,0,False
Жадный алгоритм (Greedy Attack),2,148,0,False
Жадный алгоритм (Greedy Attack),2,122,0,False
Жадный алгоритм (Greedy Attack),2,122,0,False
Жадный алгоритм (Greedy Attack),2,122,0,False
Жадный алгоритм (Greedy Attack),2,122,0,False
Жадный алгоритм (Greedy Attack),2,148,0,False
Жадный алгоритм (Greedy Attack),2,122,0,False
Жадный алгоритм (Greedy Attack),2,122,0,False
Жадный алгоритм (Greedy Attack),2,148,0,False
Жадный алгоритм (Greedy Attack),2,148,0,False
Жадный алгоритм (Greedy Attack),2,148,0,False
Жадный алгоритм (Greedy Attack),2,148,0,False
Жадный алгоритм (Greedy Attack),2,122,0,False
Жадный алгоритм (Greedy Attack),2,148,0,False
Жадный алгоритм (Greedy Attack),2,122,0,False
Жадный алгоритм (Greedy Attack),2,148,0,False
Жадный алгоритм (Greedy Attack),2,148,0,False
Жадный алгоритм (Greedy Attack),2,122,0,False
Жадный алгоритм (Greedy Attack),2,148,0,False
Жадный алгоритм (Greedy Attack),2,122,0,False
Жадный алгоритм (Greedy Attack),2,148,0,False
Жадный алгоритм (Greedy Attack),2,122,0,False
Жадный алгоритм (Greedy Attack),2,122,0,False
Жадный алгоритм (Greedy Attack),2,122,0,False
Жадный алгоритм (Greedy Attack),2,148,0,False
Жадный алгоритм (Greedy Attack),2,148,0,False
Жадный алгоритм (Greedy Attack),2,148,0,False
Жадный алгоритм (Greedy Attack),2,122,0,False
Жадный алгоритм (Greedy Attack),2,148,0,False
Жадный алгоритм (Greedy Attack),2,122,0,False
Жадный алгоритм (Greedy Attack),2,148,0,False
Жадный алгоритм (Greedy Attack),2,122,0,False
Жадный алгоритм (Greedy Attack),2,148,0,False
Жадный алгоритм (Greedy Attack),2,148,0,False
